,MarketCap,PriceToBook,Beta,DividendYield,Return_6m,Momentum_6m,Volatility,BookValue,PE,PB,ROE,ROA,DebtToEquity
FFIV,0.17006802721088435,0.6167800453514739,0.4909297052154195,,0.10430839002267574,0.10430839002267574,0.562358276643991,0.7573696145124716,0.5804988662131519,0.6167800453514739,0.5895691609977325,0.7210884353741497,0.050404236529199856
FDS,0.20861678004535147,0.7823129251700679,0.35714285714285715,0.1965118764696267,0.22222222222222224,0.22222222222222224,0.2857142857142857,0.7369614512471655,0.7074829931972789,0.7823129251700679,0.7256235827664399,0.8458049886621315,0.5610688959685609
FAST,0.5691609977324263,0.8662131519274376,0.5056689342403629,0.5204081632653061,0.4671201814058912,0.4671201814058957,0.14739229024943312,0.06575963718820863,0.8163265306122449,0.8662131519274376,0.7777777777777778,0.9841269841269842,0.07420574612823853
FRT,0.022675736961451247,0.380952380952381,0.6190476190476191,0.9059913121875256,0.5034013605442177,0.5034013605442177,0.782312925170068,0.5510204081632654,0.6122448979591837,0.380952380952381,0.24489795918367346,0.24943310657596374,0.7098679766464175
FDX,0.6281179138321996,0.25396825396825395,0.8412698412698413,0.6039760731878959,0.5215419501133787,0.5215419501133787,0.6394557823129252,0.9410430839002267,0.1564625850340136,0.25396825396825395,0.45578231292517,0.4467120181405896,
FIS,0.5487528344671202,0.4013605442176871,0.5941043083900227,0.47790055248618785,0.5827664399092971,0.5827664399092971,0.46938775510204084,0.4580498866213152,0.8866213151927438,0.4013605442176871,0.07482993197278912,0.272108843537415,0.5581149713172558
FITB,0.3673469387755102,0.108843537414966,0.4013605442176871,0.8571428571428572,0.4920634920634921,0.4920634920634921,0.7959183673469388,0.4353741496598639,0.10657596371882086,0.108843537414966,0.35600907029478457,0.045351473922902494,
FSLR,0.1564625850340136,0.21541950113378686,0.9070294784580494,,0.08616780045351474,0.08616780045351474,0.9455782312925171,0.8662131519274376,0.11111111111111112,0.21541950113378686,0.5147392290249433,0.6870748299319728,0.0458305519286505
FE,0.36281179138321995,0.2471655328798186,0.05555555555555556,0.8684807256235828,0.7755102040816326,0.7755102040816326,0.46712018140589573,0.35374149659863946,0.4920634920634921,0.2471655328798186,0.23129251700680287,0.21541950113378686,0.8178699464908447
FI,0.8027210884353742,0.5578231292517007,0.4535147392290249,,0.6213151927437642,0.6213151927437642,0.42630385487528344,0.6621315192743764,0.7120181405895691,0.5578231292517007,0.35147392290249435,0.380952380952381,0.6542702087149367
F,0.5532879818594104,0.036281179138321996,0.9297052154195011,0.9896953326263034,0.11111111111111112,0.11111111111111112,0.8775510204081632,0.14285714285714285,0.022675736961451247,0.036281179138321996,0.34467120181405897,0.031746031746031744,0.9360672040752067
FTNT,0.7301587301587298,0.9795918367346939,0.6643990929705216,,0.36281179138321995,0.36281179138321995,0.8321995464852608,0.018140589569160998,0.854875283446712,0.9795918367346939,0.981859410430839,0.9024943310657597,0.3424468379421196
FTV,0.34920634920634924,0.3378684807256236,0.6575963718820862,0.03614296958452803,0.2743764172335601,0.2743764172335601,0.3129251700680272,0.4852607709750567,0.6802721088435374,0.3378684807256236,0.15419501133786848,0.35827664399092973,0.251706051548136
FOXA,0.3197278911564626,0.26530612244897944,0.12585034013605442,0.21270718232044197,0.5600907029478458,0.5600907029478458,0.6893424036281179,0.41043083900226757,0.07936507936507936,0.26530612244897944,0.5997732426303855,0.7267573696145124,0.4421768707482993
FOX,0.31746031746031744,0.21768707482993185,0.12585034013605442,0.23480662983425415,0.5396825396825397,0.5396825396825397,0.6326530612244898,0.41043083900226757,0.049886621315192746,0.21768707482993185,0.5997732426303855,0.7267573696145124,0.4421768707482993
BEN,0.07936507936507936,0.031746031746031744,0.8662131519274376,0.975094072197476,0.27891156462585037,0.2789115646258503,0.7596371882086168,0.3786848072562358,0.6666666666666669,0.031746031746031744,0.02947845804988662,0.1292517006802721,0.13625248892900854
FCX,0.6326530612244898,0.4512471655328794,0.9410430839002272,0.3764172335600907,0.6938775510204082,0.6938775510204082,0.9433106575963719,0.17913832199546487,0.6870748299319728,0.4512471655328794,0.4399092970521542,0.6848072562358277,0.19407207686869485
GRMN,0.512471655328798,0.5963718820861679,0.4909297052154195,0.4489795918367347,0.1927437641723356,0.19274376417233557,0.2380952380952381,0.6349206349206349,0.5555555555555556,0.5963718820861679,0.5736961451247166,0.8571428571428572,0.012520269088735962
IT,0.47165532879818595,0.9410430839002271,0.7312925170068028,,0.2834467120181406,0.2834467120181406,0.6621315192743764,0.3197278911564626,0.6077097505668935,0.9410430839002271,0.963718820861678,0.8004535147392279,0.8370719568084409
GE,0.9251700680272118,0.8571428571428572,0.8117913832199547,0.10773480662983426,0.24489795918367346,0.24489795918367346,0.7891156462585034,0.2857142857142857,0.7414965986394558,0.8571428571428572,0.7097505668934241,0.3129251700680272,0.6522546942579898
GEN,0.22448979591836735,0.7619047619047604,0.4875283446712018,0.42036897063352086,0.562358276643991,0.562358276643991,0.5941043083900227,0.036281179138321996,0.6258503401360545,0.7619047619047604,0.7346938775510204,0.6122448979591837,0.9425109410279949
GNRC,0.011337868480725623,0.4308390022675737,0.9705215419501134,,0.024943310657596373,0.024943310657596373,0.9160997732426304,0.6303854875283447,0.4399092970521542,0.4308390022675737,0.42630385487528344,0.6167800453514739,0.3546398352529514
GD,0.7256235827664399,0.47845804988662133,0.108843537414966,0.5124716553287982,0.8367346938775511,0.8367346938775511,0.12698412698412698,0.888888888888889,0.3469387755102041,0.47845804988662133,0.5442176870748299,0.5136054421768708,0.31913958344178195
GIS,0.4308390022675737,0.47392290249433106,0.0,0.8922902494331066,0.761904761904762,0.7619047619047619,0.06349206349206349,0.2585034013605442,0.11337868480725609,0.47392290249433106,0.7006802721088435,0.6575963718820862,0.757730991250929
GM,0.5827664399092971,0.015873015873015872,0.8367346938775511,0.2891156462585034,0.07029478458049887,0.07029478458049887,0.8163265306122449,0.8231292517006803,0.0022675736961451248,0.015873015873015872,0.19954648526077098,0.18480725623582767,0.8520917824590721
GPC,0.1836734693877551,0.5260770975056687,0.2766439909297052,0.7820032251519132,0.6984126984126984,0.6984126984126984,0.3219954648526077,0.5034013605442177,0.3673469387755102,0.5260770975056687,0.5759637188208616,0.4376417233560091,0.7235301530287143
