,MarketCap,PriceToBook,Beta,DividendYield,Return_6m,Momentum_6m,Volatility,BookValue,PE,PB,ROE,ROA,DebtToEquity
LVS,28116727808,10.421687,0.982,2.53,-0.019265984918226745,0.17303370786516853,0.42990131636786705,3.818,22.229052,10.421687,0.44687,0.06875,456.677
LDOS,20041547776,4.7077675,0.661,1.03,0.36468698360563023,0.9123595505617977,0.25370364290560166,33.073,15.695564,4.7077675,0.30945998,0.09274,133.333
LEN,28507897856,1.2609392,1.434,1.86,0.25633222207727757,0.7887640449438202,0.37768389963729143,86.158,7.929927,1.2609392,0.15213999,0.08224,16.9
LII,20357629952,23.88526,1.188,0.81,0.22623821565904517,0.7370786516853932,0.29843619321200543,24.019,25.577353,23.88526,1.3148301,0.19844,174.757
LLY,659449970688,44.1581,0.472,0.77,0.41130280276814807,0.9415730337078652,0.30397935747224797,16.635,59.867153,44.1581,0.77278,0.16447,243.609
LIN,213077934080,5.6093783,1.007,1.33,0.05604744387918674,0.33707865168539325,0.23329841334836693,80.697,32.8968,5.6093783,0.17013,0.06963,60.555
LYV,31641513984,293.5914,1.473,,0.12028018412006142,0.5146067415730337,0.41088847259079353,0.465,46.277966,293.5914,0.68505996,0.04185,393.218
LKQ,10351734784,1.6776838,0.977,3.05,-0.020519924082172326,0.1662921348314607,0.3084164780715826,23.902,14.907063,1.6776838,0.113900006,0.053600002,94.458
LMT,110943838208,16.50931,0.289,2.8,0.059040821269891415,0.34831460674157305,0.21836093036888712,28.682,20.419146,16.50931,0.82547,0.0832,303.816
L,18537213952,1.0816367,0.695,0.28,0.0812211704739885,0.4157303370786517,0.250113360303782,81.728,14.468085,1.0816367,0.07998,0.01654,49.606
LULU,33616041984,7.8470254,1.301,,-0.3137421586966016,0.006741573033707865,0.38230223938503527,35.653,19.109972,7.8470254,0.42417,0.21314,36.443
LYB,18297303040,1.5058855,0.89,9.64,0.030774661069808532,0.27191011235955054,0.33169633351963673,37.805,19.698961,1.5058855,0.07437,0.03849,103.883
MTB,28435408896,1.0826122,0.572,3.11,0.17841579363222348,0.647191011235955,0.3796844593927694,163.632,11.849498,1.0826122,0.09405,0.012410001,
MPC,46355521536,2.843708,0.841,2.52,0.18262782976135533,0.6651685393258427,0.3813275414962051,53.061,20.783747,2.843708,0.15524,0.03469,139.332
MKTX,8596871168,6.412754,0.889,1.33,-0.16567122568106585,0.03146067415730337,0.3570442724030111,36.036,40.189564,6.412754,0.16254,0.11063,5.259
MMC,111775350784,7.946266,0.846,1.43,0.04290500338542033,0.30337078651685395,0.19656210698857954,28.548,27.800247,7.946266,0.30532,0.07929,157.128
MLM,32665643008,3.5967474,0.886,0.59,0.21583156929933237,0.7191011235955056,0.30206623276103567,150.65,31.105051,3.5967474,0.1187,0.05786,63.926
MAS,13099497472,-51.57807,1.233,2.05,0.14385538158872854,0.5797752808988764,0.28357715816000667,-1.204,16.967213,-51.57807,11.165561,0.16038999,
MA,516371742720,77.566505,1.061,0.54,0.07412067199207216,0.4,0.2685355874354245,7.331,39.848633,77.566505,1.8770399,0.23363,280.795
MKC,20418480128,3.7619305,0.738,2.4,0.12209349392306251,0.5191011235955056,0.2285113625310338,20.221,26.231033,3.7619305,0.14659001,0.05165,79.045
MDT,107066449920,2.1691568,0.83,3.37,0.05327909027039084,0.3303370786516854,0.2333302517605465,38.485,25.451221,2.1691568,0.08442,0.04656,53.627
MRK,190762958848,3.9547114,0.441,4.1,0.27020260078583164,0.8044943820224719,0.20541225066341415,19.21,11.042151,3.9547114,0.39293,0.13809,71.992
META,1489715462144,8.079005,1.237,0.35,0.46109323505187183,0.9685393258426966,0.4557031332544154,73.337,23.14414,8.079005,0.39835,0.17879999,26.763
MET,52260548608,1.9064995,0.832,2.96,0.1401584738535315,0.5707865168539326,0.2872843806100003,40.834,12.720589,1.9064995,0.15982,0.0062599997,172.754
