,PE,PB,ROE,ROA,DebtToEquity,Beta,MarketCap,DividendYield,52WeekChange,Momentum_6m,Volatility,Return_6m
PRU,16.492113,1.2386423,0.07836,0.00236,122.416,1.089,37058887680,5.31,-0.09380013,-0.1505208445245384,0.288262827208555,-0.1505208445245384
PSA,30.00397,10.171521,0.20121,0.07062,97.458,0.757,53057355776,4.0,0.12883806,-0.06593295742443861,0.2389335187631618,-0.06593295742443861
PHM,7.3110876,1.6879443,0.25522,0.13892001,17.795,1.447,20749205504,0.86,-0.12645745,-0.20031021809139327,0.340094135818021,-0.20031021809139327
PWR,52.604668,6.495824,0.13731,0.050100002,63.537,1.038,48434139136,0.12,0.25592005,0.042168225093108136,0.4279428645574292,0.042168225093108136
QCOM,14.132653,5.4945054,0.42205003,0.13428001,52.737,1.287,152072994816,2.63,-0.24732798,-0.20891667451605767,0.43372989777214443,-0.20891667451605767
DGX,22.50316,2.877186,0.13951999,0.06126,93.369,0.776,19871029248,1.8,0.29072642,0.1531664312475134,0.2200242992788633,0.1531664312475134
RL,20.947178,5.5978775,0.27571,0.07935,105.691,1.395,14205765632,1.47,0.3472756,0.14020715636572745,0.40123688821343556,0.14020715636572745
RTX,38.268326,2.8339522,0.07802,0.03471,67.798,0.263,174334787584,1.98,0.25650883,0.06859146531107152,0.2597005097070839,0.06859146531107152
O,58.70408,1.3204948,0.02404,0.02299,68.313,0.796,51303469056,5.64,0.0345639,-0.013139595798712156,0.18464830641050964,-0.013139595798712156
REG,34.69673,2.055828,0.05821,0.029070001,71.042,1.04,13369848832,3.89,0.22745764,0.036709139613638087,0.19932816192456532,0.036709139613638087
REGN,15.446252,2.1902826,0.15961,0.0691,9.204,0.435,65622204416,0.6,-0.3834901,-0.35314305982202565,0.295273219272286,-0.35314305982202565
RSG,37.919304,6.7254753,0.18545,0.06395,115.988,0.625,78563303424,0.93,0.34445584,0.23568076181872843,0.17645278054441124,0.23568076181872843
RMD,26.913116,6.346393,0.25811002,0.14012,15.142,0.755,35200012288,0.9,0.08991611,-0.015232052703780252,0.3393761148217112,-0.015232052703780252
RVTY,39.739666,1.5140351,0.03824,0.02086,43.542,1.07,11554536448,0.3,-0.07663256,-0.19020035833834703,0.32541890423689823,-0.19020035833834703
ROK,31.069822,8.323757,0.24847999,0.07114,113.245,1.391,28175529984,2.1,-0.09074986,-0.07328764954419298,0.34825556665984336,-0.07328764954419298
ROL,57.121212,20.210863,0.37827,0.14879,67.198,0.798,27406731264,1.18,0.21574152,0.19897408069339484,0.22435518020613315,0.19897408069339484
ROP,40.847263,3.1675336,0.08095,0.04156,38.788,1.04,60883001344,0.59,0.07807279,0.031455780692017044,0.21417703818743436,0.031455780692017044
ROST,22.397152,8.448225,0.40282002,0.11066,103.144,1.115,46546452480,1.17,0.061831236,0.015624246292323951,0.24837830634360394,0.015624246292323951
RCL,18.60813,7.80814,0.48519,0.07429,247.101,2.271,62154653696,1.36,0.5973519,0.09136817001049202,0.44330442276338966,0.09136817001049202
SPGI,39.787735,4.6513553,0.11241,0.061950002,31.875,1.261,155212267520,0.77,0.17345595,0.04272056583404238,0.22042041689067945,0.04272056583404238
CRM,43.01808,4.302552,0.10258,0.047259998,19.731,1.381,262507282432,0.62,-0.01582253,-0.08347063363787677,0.3876163878446339,-0.08347063363787677
SLB,11.6413555,2.3935044,0.20201,0.08125,68.142,1.119,46394667008,3.38,-0.29206884,-0.139044065179747,0.35083936169582985,-0.139044065179747
SRE,16.997736,1.6115055,0.097950004,0.01951,98.735,0.664,48978223104,3.45,0.024410367,-0.08051659204674333,0.3060101769225374,-0.08051659204674333
SHW,33.98581,21.692635,0.70217,0.09887999,329.968,1.256,90023395328,0.89,0.13601029,-0.003907232026948759,0.24533660850933553,-0.003907232026948759
SPG,22.168043,18.099415,0.74901,0.05797,688.571,1.48,60668911616,5.29,0.11152315,-0.04066465674061237,0.26456232115076395,-0.04066465674061237
SWKS,20.375385,1.6625658,0.08342,0.05251,18.639,1.206,10169737216,4.29,-0.29488707,-0.31194004779072726,0.5135922523934556,-0.31194004779072726
SW,50.865852,1.2153263,0.04226,0.0354,79.485,0.998,21771618304,4.26,-0.12440503,-0.05580466528604133,0.4086283051191815,-0.05580466528604133
SNA,16.581108,3.001127,0.19538,0.10828,23.477,0.831,16569187328,2.75,0.15009403,-0.05109553403899314,0.2563246896948501,-0.05109553403899314
SO,21.784172,2.9504044,0.12244,0.03463,188.378,0.372,99941253120,3.24,0.20580089,0.03786677606719491,0.18341421811884925,0.03786677606719491
LUV,33.35955,1.8066205,0.05593,0.009330001,85.371,0.942,16919321600,2.52,0.09292543,-0.032439103179508266,0.40886665053323146,-0.032439103179508266
SWK,25.811441,1.0657301,0.04032,0.02797,81.597,1.137,9424342016,5.56,-0.3130536,-0.3387792064854578,0.4049483179585952,-0.3387792064854578
STLD,17.478317,2.2648094,0.13199,0.05924,47.5,1.359,19937798144,1.53,-0.038237274,-0.007911832524133744,0.3761002779446044,-0.007911832524133744
STE,36.090836,3.4373803,0.096140005,0.05589,36.087,0.875,22055831552,1.03,0.06938696,0.007982132935928199,0.22278937605248716,0.007982132935928199
SYY,18.400517,17.959646,0.93613,0.08615,751.105,0.913,34518691840,3.08,-0.06913483,-0.02681533525086177,0.21677565140607188,-0.02681533525086177
TMUS,24.046343,4.58763,0.19351,0.055999998,199.152,0.627,279860051968,1.43,0.5006075,0.09794540678732444,0.26448928569868446,0.09794540678732444
TROW,9.965574,1.9652363,0.19646999,0.11412,2.95,1.527,20265136128,5.76,-0.2096861,-0.16872691651922778,0.28381541664022003,-0.16872691651922778
TPR,20.680231,11.012383,0.39821997,0.07958,307.265,1.389,14727047168,1.99,0.79638124,0.46632080140085175,0.4128762946255465,0.46632080140085175
TRGP,30.108454,13.758084,0.34414002,0.07762,323.439,1.745,35638243328,2.34,0.44546342,0.010075117586481053,0.34936729921294246,0.010075117586481053
TGT,11.059819,3.0438292,0.2912,0.06341,135.518,1.283,44522733568,4.67,-0.39274865,-0.327112034717601,0.4021173167739019,-0.327112034717601
TEL,32.15652,3.6369894,0.1122,0.08149,46.476,1.244,43865231360,1.94,0.03070426,-0.022641371709899882,0.2704599388555732,-0.022641371709899882
TER,21.573654,4.396432,0.21551001,0.10561,2.458,1.646,12248236032,0.65,-0.38741285,-0.3260269192537173,0.534434316136049,-0.3260269192537173
TXN,31.034027,9.096298,0.29189,0.10038,78.313,0.976,149143846912,3.44,-0.115421176,-0.2056157467431785,0.3789751082173509,-0.2056157467431785
