,MarketCap,PriceToBook,Beta,DividendYield,Return_6m,Momentum_6m,Volatility,BookValue,PE,PB,ROE,ROA,DebtToEquity
MU,95954567168,1.9737931,1.211,0.56,0.3101351915758216,0.6886363636363636,0.4318117806883131,43.5,20.54067,1.9737931,0.101009995,0.055219997,30.891
MSFT,3260878422016,10.132333,0.985,0.77,0.15477570351156097,0.4,0.2742127996253468,43.3,33.852623,10.132333,0.3361,0.14581999,32.626
MAA,19581636608,3.2035058,0.803,3.68,0.3336480130689756,0.7318181818181818,0.25049479390011664,50.888,33.89189,3.2035058,0.09368,0.03492,82.626
MHK,6647000576,0.8457573,1.244,,0.5675985378211665,0.9431818181818182,0.5326332000629733,125.698,13.896731,0.8457573,0.062589996,0.0359,35.465
MOH,17463240704,4.036835,0.636,,0.2032653896368044,0.4863636363636364,0.3617674869504903,79.815,15.565217,4.036835,0.26718,0.06728,87.378
TAP,11081586688,0.8478838,0.738,3.31,0.2435898194067116,0.5886363636363636,0.37599767711099574,64.431,10.211215,0.8478838,0.07989,0.041490003,49.065
MDLZ,85937201152,3.3328314,0.51,2.8,0.11396103202769402,0.33636363636363636,0.18026745203002553,19.914,24.672863,3.3328314,0.13302,0.03691,78.051
MPWR,30536427520,9.346259,1.18,0.98,0.046907043585542506,0.18636363636363637,0.4561532723075145,68.238,17.0072,9.346259,0.67946,0.11995,0.543
MNST,59362697216,9.962437,0.628,,0.11218056614186285,0.33181818181818185,0.23624476992546256,6.123,40.939598,9.962437,0.20004,0.14239,3.998
MCO,84691419136,22.889172,1.403,0.8,0.19869154415775972,0.4772727272727273,0.2513076517150191,20.563,40.715397,22.889172,0.55498004,0.12687999,188.388
MS,195245735936,2.014667,1.3,3.11,0.4564056829935691,0.875,0.34930491888664633,60.407,14.267292,2.014667,0.13884,0.011419999,416.642
MOS,10363904000,0.88047427,1.103,2.79,0.6621179752598342,0.9704545454545455,0.538094794582529,37.105,28.163792,0.88047427,0.03285,0.021370001,40.476
MSI,67851354112,41.34459,0.987,1.05,0.19238490911071612,0.4681818181818182,0.2737649657492223,9.832,33.875,41.34459,1.86885,0.13,393.309
NDAQ,45476200448,3.9374657,1.008,1.37,0.30299561304276135,0.6840909090909091,0.22549420807553527,20.117,35.84163,3.9374657,0.11415,0.04354,84.587
NTAP,19285929984,19.067537,1.394,2.24,0.46048603679834343,0.884090909090909,0.3990804272499778,4.901,17.305555,19.067537,1.14329,0.09519,226.131
NFLX,485244567552,20.200191,1.585,,0.015711497579884433,0.1431818181818182,0.41401662710538095,56.446,53.936615,20.200191,0.40842,0.13789,72.513
NEM,60079734784,1.934767,0.324,1.85,0.28547194249726393,0.6681818181818182,0.33309393585730257,27.9,12.296128,1.934767,0.1666,0.07857,25.408
NWSA,16726369280,1.9554006,1.306,0.71,0.5026494645284472,0.9090909090909091,0.3299623199761762,14.35,37.413334,1.9554006,0.067150004,0.03517,31.318
